measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,10,Kingdom of Cambodia,1,Male,6,5-9 years,339,Pertussis,1,Number,1980,75.0113778797746,247.70517288811524,6.996332107468177
1,Deaths,10,Kingdom of Cambodia,2,Female,6,5-9 years,339,Pertussis,1,Number,1980,92.07895655179843,304.4601620507858,8.23249787761702
1,Deaths,10,Kingdom of Cambodia,1,Male,6,5-9 years,339,Pertussis,2,Percent,1980,0.038775894050621214,0.12791929761041534,0.003608192784025411
1,Deaths,10,Kingdom of Cambodia,2,Female,6,5-9 years,339,Pertussis,2,Percent,1980,0.06301989574782532,0.19752005599779965,0.005711933250856635
1,Deaths,10,Kingdom of Cambodia,1,Male,6,5-9 years,339,Pertussis,3,Rate,1980,13.10695934305977,43.2822555974608,1.2224897485565922
1,Deaths,10,Kingdom of Cambodia,2,Female,6,5-9 years,339,Pertussis,3,Rate,1980,15.442555854944493,51.060994109222236,1.3806716872306883
1,Deaths,10,Kingdom of Cambodia,1,Male,7,10-14 years,339,Pertussis,1,Number,1980,18.34710190435714,66.48431378465277,1.5169008714463488
1,Deaths,10,Kingdom of Cambodia,2,Female,7,10-14 years,339,Pertussis,1,Number,1980,20.187407683735948,73.8895470879614,1.626068292142601
1,Deaths,10,Kingdom of Cambodia,1,Male,7,10-14 years,339,Pertussis,2,Percent,1980,0.018200401412093614,0.06514490363332028,0.0015528973741956447
1,Deaths,10,Kingdom of Cambodia,2,Female,7,10-14 years,339,Pertussis,2,Percent,1980,0.021551571143266675,0.07158715129137139,0.0017593525504044267
1,Deaths,10,Kingdom of Cambodia,1,Male,7,10-14 years,339,Pertussis,3,Rate,1980,3.661451434158337,13.267985719207186,0.30272131806900027
1,Deaths,10,Kingdom of Cambodia,2,Female,7,10-14 years,339,Pertussis,3,Rate,1980,3.761918716045269,13.769299875697016,0.30301744719344587
1,Deaths,10,Kingdom of Cambodia,1,Male,8,15-19 years,339,Pertussis,1,Number,1980,4.159483762301618,14.636901328092218,0.31695332459286624
1,Deaths,10,Kingdom of Cambodia,2,Female,8,15-19 years,339,Pertussis,1,Number,1980,4.266831555550188,15.781473579184523,0.3306089684999816
1,Deaths,10,Kingdom of Cambodia,1,Male,8,15-19 years,339,Pertussis,2,Percent,1980,0.0013602281885957438,0.005407920827165811,9.723095266406344e-05
